Player,Points played total,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
82 Claire Schmitt,158,36,122,21,55,306,111,304,188,118,42,9,2,38,37,1,5,0,0,"3,880.71","2,538.55",14.76,9.65,"1,619.08",262.05,8.61,1.39
04 Becca Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26 Rhea Joshi,89,3,86,3,42,43,30,39,42,1,3,1,4,2,1,1,5,0,0,391.21,177.88,10.57,4.81,616.65,495.28,14.68,11.79
31 Abby Shure,53,49,4,34,4,71,35,61,68,3,8,3,10,10,8,2,1,0,0,568.08,328.03,10.72,6.19,779.75,555.05,11.47,8.16
02 Alex Hu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41 Avery Mullen,17,0,17,0,10,13,6,12,12,1,0,2,1,0,0,0,1,0,0,100.58,13.82,8.38,1.15,128.48,35.69,10.71,2.97
08 PJ Maddi Lang,112,17,95,8,45,151,59,146,135,16,6,8,4,10,9,1,4,0,1,"1,297.89",581.86,9.61,4.31,"1,101.88",141.46,8.16,1.05
99 Dana Demmert,63,1,62,0,21,41,23,37,41,0,2,2,4,4,4,0,2,0,0,285.70,114.93,9.22,3.71,568.69,435.15,13.87,10.61
05 Anna Thorn,84,81,3,51,3,208,74,204,153,55,17,6,4,20,19,1,2,0,0,"2,075.92","1,058.63",11.28,5.75,"1,370.28",426.41,8.96,2.79
06 Kylie Chesner,116,2,114,1,51,59,40,49,57,2,3,5,10,2,2,0,5,0,0,404.61,174.34,8.61,3.71,795.71,567.97,13.96,9.96
21 Sowmya Ragothaman,104,36,68,21,40,134,64,126,117,17,5,9,8,5,5,0,3,0,0,"1,115.84",367.51,9.30,3.06,"1,203.02",421.19,10.28,3.60
14 Sarah Helding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12 Lizzie Tilden,47,1,46,0,11,64,16,64,56,8,1,3,0,7,4,3,1,0,0,652.39,342.59,10.87,5.71,481.81,-51.89,8.60,-0.93
17 Rufus Caitlin Duffner,114,102,12,64,7,111,63,93,107,4,4,13,18,10,8,2,7,0,0,703.42,193.83,8.37,2.31,"1,360.75",951.72,12.72,8.89
11 Letty Ho,33,0,33,0,19,21,11,17,21,0,0,0,4,2,2,0,2,0,0,142.78,29.33,9.52,1.96,274.08,228.74,13.05,10.89
44 Lily LeDonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27 Connie Chan,148,33,115,19,48,140,77,130,129,11,5,13,10,11,8,3,16,0,0,"1,238.92",452.53,10.24,3.74,"1,626.13","1,065.03",12.61,8.26
15 Hannah Cheng,118,83,35,51,16,238,88,231,178,60,8,8,7,20,19,1,2,0,0,"2,046.07",678.35,9.70,3.21,"1,696.35",231.05,9.53,1.30
24 Anna Stubbs,60,57,3,38,3,71,37,64,70,1,3,8,6,9,7,2,4,0,1,557.17,221.53,9.77,3.89,892.49,595.71,12.75,8.51
88 Catherine Chen,72,69,3,45,1,167,61,165,134,33,11,3,2,18,15,3,4,0,0,"1,517.09",671.71,10.25,4.54,"1,220.13",342.96,9.11,2.56
18 Kendra Griesman,75,71,4,43,1,79,48,59,77,2,1,10,20,7,5,2,10,0,0,478.29,113.94,8.86,2.11,"1,216.36",900.71,15.80,11.70
13 Grace Feehan,94,85,9,57,5,70,48,61,64,6,4,5,9,6,5,1,11,0,0,627.92,303.42,11.42,5.52,865.15,667.12,13.52,10.42
09 Moose Lucy Petersen,52,39,13,25,12,48,30,41,47,1,3,3,7,7,6,1,5,0,0,328.79,128.80,9.67,3.79,677.84,572.21,14.42,12.17
29 Jade Hostein,127,17,110,10,51,161,73,145,153,8,8,12,16,23,17,6,13,0,0,"1,173.52",377.06,9.24,2.97,"1,607.53",975.09,10.51,6.37
16 Sasha Baumann,20,8,12,5,10,20,12,17,19,1,0,0,3,1,1,0,3,0,0,123.90,25.45,8.26,1.70,246.46,200.97,12.97,10.58
23 Marie Zarazoga,44,1,43,1,22,28,15,27,27,1,0,2,1,4,4,0,1,0,0,196.82,53.41,8.56,2.32,270.68,59.28,10.03,2.20
07 Annie Phan,96,23,73,14,29,110,47,107,86,24,7,4,3,11,9,2,5,0,0,"1,037.99",430.65,10.59,4.39,840.53,212.26,9.77,2.47
95 Bug Elena Dansdill,5,0,5,0,0,3,2,3,3,0,0,0,0,1,1,0,0,0,0,17.14,-1.99,8.57,-0.99,29.32,20.99,9.77,7.00
25 Ducky Tewodros,59,3,56,2,24,32,26,27,32,0,2,3,5,2,1,1,0,0,0,245.10,114.11,9.80,4.56,412.12,298.22,12.88,9.32
10 Steph Rupp,92,86,6,64,4,267,89,265,218,49,9,16,2,15,15,0,2,0,0,"2,844.23","1,429.28",11.47,5.76,"1,922.36",381.14,8.82,1.75
72 JJ Jarik,118,105,13,67,12,115,77,107,112,3,16,10,8,20,20,0,7,0,0,"1,320.92","1,015.14",15.18,11.67,"1,549.36",943.11,13.83,8.42
00 Eileen Duffner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00