Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-10-10 12:27:00,1,0,0,0,1,1,5,0,0,0,0,1,29 Jade Hostein,27 Connie Chan,25 Ducky Tewodros
2025-10-10 12:28:39,2,1,0,0,0,0,0,0,0,0,0,0,,,
2025-10-10 12:28:59,3,1,1,1,1,1,1,0,0,0,0,0,,,
2025-10-10 12:29:08,4,2,1,0,1,1,1,0,0,0,0,1,,,
2025-10-10 12:29:16,5,3,1,0,1,1,1,0,0,0,0,1,,,
2025-10-10 12:29:24,6,4,1,0,0,2,9,2,2,0,1,1,,,
2025-10-10 12:31:59,7,4,2,1,1,3,9,2,2,0,1,1,07 Annie Phan,13 Grace Feehan,15 Hannah Cheng
2025-10-10 12:35:22,8,5,2,0,1,2,11,1,1,0,1,1,25 Ducky Tewodros,82 Claire Schmitt,06 Kylie Chesner
2025-10-10 12:38:37,9,6,2,0,1,4,29,3,3,0,1,3,72 JJ Jarik,24 Anna Stubbs,17 Rufus Caitlin Duffner
2025-10-10 12:45:36,10,7,2,0,1,2,9,1,1,0,2,0,27 Connie Chan,82 Claire Schmitt,26 Rhea Joshi
2025-10-10 12:48:37,11,8,2,1,1,2,5,1,1,0,1,0,05 Anna Thorn,15 Hannah Cheng,27 Connie Chan
2025-10-10 12:50:21,12,9,2,0,1,1,4,0,0,0,1,0,08 PJ Maddi Lang,21 Sowmya Ragothaman,06 Kylie Chesner
2025-10-10 12:51:51,13,10,2,0,1,4,33,3,2,1,2,2,27 Connie Chan,26 Rhea Joshi,16 Sasha Baumann
2025-10-10 17:37:31,14,11,2,0,1,3,8,2,1,1,1,2,29 Jade Hostein,82 Claire Schmitt,31 Abby Shure
2025-10-10 17:41:25,15,12,2,0,1,1,8,0,0,0,1,0,15 Hannah Cheng,21 Sowmya Ragothaman,11 Letty Ho
2025-10-10 17:44:51,16,13,2,0,1,1,6,0,0,0,0,1,29 Jade Hostein,07 Annie Phan,06 Kylie Chesner
2025-10-10 17:47:54,17,14,2,0,1,1,8,0,0,0,1,0,07 Annie Phan,72 JJ Jarik,29 Jade Hostein
2025-10-10 17:52:30,18,15,2,0,0,0,0,0,0,0,0,0,,,