Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-10-13 11:29:30,1,1,0,0,0.2874828,0.46204787,82 Claire Schmitt,4,,,,27 Connie Chan,,
2025-10-13 11:30:24,1,2,0,1,0.31911963,0.6668365,27 Connie Chan,2,27 Connie Chan,82 Claire Schmitt,06 Kylie Chesner,,,
2025-10-13 11:31:54,2,1,0,1,0.49931416,0.35804978,08 PJ Maddi Lang,7,23 Marie Zarazoga,99 Dana Demmert,17 Rufus Caitlin Duffner,,,
2025-10-13 11:34:19,3,1,0,1,0.18569462,0.6148752,82 Claire Schmitt,3,25 Ducky Tewodros,82 Claire Schmitt,26 Rhea Joshi,,,
2025-10-13 11:35:48,4,1,0,1,0.24691358,0.83951247,29 Jade Hostein,8,21 Sowmya Ragothaman,82 Claire Schmitt,29 Jade Hostein,,,
2025-10-13 11:38:33,5,1,0,0,0.027510317,0.43606725,15 Hannah Cheng,4,,,,25 Ducky Tewodros,,
2025-10-13 11:41:32,5,2,0,1,0.41563785,0.5083799,09 Moose Lucy Petersen,5,25 Ducky Tewodros,09 Moose Lucy Petersen,08 PJ Maddi Lang,,,
2025-10-13 11:44:13,6,1,0,1,0.34525448,0.8242486,10 Steph Rupp,6,72 JJ Jarik,13 Grace Feehan,23 Marie Zarazoga,,,
2025-10-13 11:46:05,7,1,0,1,0.09078402,0.34844625,05 Anna Thorn,4,06 Kylie Chesner,05 Anna Thorn,31 Abby Shure,,,
2025-10-13 11:48:12,8,1,0,1,0.6492435,0.41569027,82 Claire Schmitt,2,82 Claire Schmitt,29 Jade Hostein,82 Claire Schmitt,,,
2025-10-13 11:49:24,9,1,1,0,0.70563966,0.6775344,10 Steph Rupp,3,,,,72 JJ Jarik,,
2025-10-13 11:50:08,9,2,1,0,0.3122421,0.5292919,10 Steph Rupp,4,,,,10 Steph Rupp,,
2025-10-13 11:51:52,9,3,1,1,0.34112793,0.28578705,05 Anna Thorn,1,,05 Anna Thorn,31 Abby Shure,,,
2025-10-13 11:53:10,10,1,0,1,0.27023315,0.56729305,27 Connie Chan,10,99 Dana Demmert,25 Ducky Tewodros,21 Sowmya Ragothaman,,,
2025-10-13 11:55:30,11,1,0,1,0.3342504,0.2572593,82 Claire Schmitt,1,,82 Claire Schmitt,29 Jade Hostein,,,
2025-10-13 11:57:30,12,1,0,0,0.5171939,0.41925624,07 Annie Phan,4,,,,09 Moose Lucy Petersen,,
2025-10-13 11:58:49,12,2,0,1,0.35625854,0.4808966,07 Annie Phan,2,07 Annie Phan,27 Connie Chan,72 JJ Jarik,,,
2025-10-13 12:01:28,13,1,0,1,0.44979373,0.81762606,10 Steph Rupp,7,10 Steph Rupp,13 Grace Feehan,31 Abby Shure,,,
2025-10-13 12:03:40,14,1,0,1,0.68638235,0.58278143,82 Claire Schmitt,5,08 PJ Maddi Lang,21 Sowmya Ragothaman,99 Dana Demmert,,,
2025-10-13 12:05:49,15,1,0,1,0.22971115,0.5257259,15 Hannah Cheng,9,23 Marie Zarazoga,15 Hannah Cheng,07 Annie Phan,,,